starting
Job is running on node c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_wp_uchuu_all_Msatmocks_covglam4.h5
Condition number: 1565.9735714174465
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for wp built with train_tag _George_log_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 667
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 1 | bound: 0 | nc: 1 | ncall: 973 | eff(%):  0.103 | loglstar:   -inf < -1323.553 <    inf | logz: -1331.127 +/-  0.125 | dlogz:    inf >  0.010                                                
iter: 2 | bound: 0 | nc: 1 | ncall: 974 | eff(%):  0.205 | loglstar:   -inf < -1114.753 <    inf | logz: -1122.327 +/-  0.125 | dlogz: 1324.021 >  0.010                                              
iter: 3 | bound: 0 | nc: 1 | ncall: 975 | eff(%):  0.308 | loglstar:   -inf < -1096.981 <    inf | logz: -1104.557 +/-  0.125 | dlogz: 1115.220 >  0.010                                              
iter: 4 | bound: 0 | nc: 1 | ncall: 976 | eff(%):  0.410 | loglstar:   -inf < -1023.907 <    inf | logz: -1031.484 +/-  0.125 | dlogz: 1097.449 >  0.010                                              
iter: 5 | bound: 0 | nc: 1 | ncall: 977 | eff(%):  0.512 | loglstar:   -inf < -946.866 <    inf | logz: -954.443 +/-  0.125 | dlogz: 1024.375 >  0.010                                                
iter: 6 | bound: 0 | nc: 1 | ncall: 978 | eff(%):  0.613 | loglstar:   -inf < -944.989 <    inf | logz: -952.300 +/-  0.119 | dlogz: 947.333 >  0.010                                                 
iter: 7 | bound: 0 | nc: 1 | ncall: 979 | eff(%):  0.715 | loglstar:   -inf < -918.492 <    inf | logz: -926.072 +/-  0.125 | dlogz: 945.189 >  0.010                                                 
iter: 8 | bound: 0 | nc: 1 | ncall: 980 | eff(%):  0.816 | loglstar:   -inf < -917.672 <    inf | logz: -924.621 +/-  0.116 | dlogz: 918.960 >  0.010                                                 
iter: 9 | bound: 0 | nc: 1 | ncall: 981 | eff(%):  0.917 | loglstar:   -inf < -907.457 <    inf | logz: -915.038 +/-  0.125 | dlogz: 917.508 >  0.010                                                 
iter: 10 | bound: 0 | nc: 1 | ncall: 982 | eff(%):  1.018 | loglstar:   -inf < -902.189 <    inf | logz: -909.761 +/-  0.124 | dlogz: 907.924 >  0.010                                                
iter: 11 | bound: 0 | nc: 1 | ncall: 983 | eff(%):  1.119 | loglstar:   -inf < -872.777 <    inf | logz: -880.361 +/-  0.125 | dlogz: 902.646 >  0.010                                                
