starting
Job is running on node c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_xi2_uchuu_all_Msatmocks_covglam4.h5
Condition number: 87325.44877121199
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for xi2 built with train_tag _George_xrsqmean_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 757
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 1 | bound: 0 | nc: 1 | ncall: 973 | eff(%):  0.103 | loglstar:   -inf < -349.990 <    inf | logz: -357.564 +/-  0.125 | dlogz:    inf >  0.010                                                  
iter: 2 | bound: 0 | nc: 1 | ncall: 974 | eff(%):  0.205 | loglstar:   -inf < -204.517 <    inf | logz: -212.092 +/-  0.125 | dlogz: 357.537 >  0.010                                                 
iter: 3 | bound: 0 | nc: 1 | ncall: 975 | eff(%):  0.308 | loglstar:   -inf < -147.714 <    inf | logz: -155.290 +/-  0.125 | dlogz: 212.064 >  0.010                                                 
iter: 4 | bound: 0 | nc: 1 | ncall: 976 | eff(%):  0.410 | loglstar:   -inf < -137.306 <    inf | logz: -144.882 +/-  0.125 | dlogz: 155.261 >  0.010                                                 
iter: 5 | bound: 0 | nc: 1 | ncall: 977 | eff(%):  0.512 | loglstar:   -inf < -99.863 <    inf | logz: -107.441 +/-  0.125 | dlogz: 144.852 >  0.010                                                  
iter: 6 | bound: 0 | nc: 1 | ncall: 978 | eff(%):  0.613 | loglstar:   -inf < -69.862 <    inf | logz: -77.441 +/-  0.125 | dlogz: 107.410 >  0.010                                                   
iter: 7 | bound: 0 | nc: 1 | ncall: 979 | eff(%):  0.715 | loglstar:   -inf < -64.688 <    inf | logz: -72.256 +/-  0.124 | dlogz: 77.408 >  0.010                                                    
iter: 8 | bound: 0 | nc: 1 | ncall: 980 | eff(%):  0.816 | loglstar:   -inf < -64.228 <    inf | logz: -70.989 +/-  0.116 | dlogz: 72.223 >  0.010                                                    
iter: 9 | bound: 0 | nc: 1 | ncall: 981 | eff(%):  0.917 | loglstar:   -inf < -62.235 <    inf | logz: -69.448 +/-  0.116 | dlogz: 70.954 >  0.010                                                    
iter: 10 | bound: 0 | nc: 1 | ncall: 982 | eff(%):  1.018 | loglstar:   -inf < -61.918 <    inf | logz: -68.477 +/-  0.112 | dlogz: 69.413 >  0.010                                                   
iter: 11 | bound: 0 | nc: 1 | ncall: 983 | eff(%):  1.119 | loglstar:   -inf < -57.408 <    inf | logz: -64.951 +/-  0.123 | dlogz: 68.441 >  0.010                                                   
iter: 12 | bound: 0 | nc: 1 | ncall: 984 | eff(%):  1.220 | loglstar:   -inf < -54.981 <    inf | logz: -62.400 +/-  0.120 | dlogz: 64.914 >  0.010                                                   
iter: 13 | bound: 0 | nc: 1 | ncall: 985 | eff(%):  1.320 | loglstar:   -inf < -43.445 <    inf | logz: -51.031 +/-  0.125 | dlogz: 62.362 >  0.010                                                   
iter: 14 | bound: 0 | nc: 1 | ncall: 986 | eff(%):  1.420 | loglstar:   -inf < -42.436 <    inf | logz: -49.475 +/-  0.117 | dlogz: 50.992 >  0.010                                                   
iter: 15 | bound: 0 | nc: 1 | ncall: 987 | eff(%):  1.520 | loglstar:   -inf < -42.417 <    inf | logz: -48.702 +/-  0.112 | dlogz: 49.435 >  0.010                                                   
iter: 16 | bound: 0 | nc: 1 | ncall: 988 | eff(%):  1.619 | loglstar:   -inf < -42.218 <    inf | logz: -48.230 +/-  0.108 | dlogz: 48.661 >  0.010                                                   
