starting
Job is running on node c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_upf_uchuu_all_Msatmocks_covglam4.h5
Condition number: 141580.5220998982
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for upf built with train_tag _George_log_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 576
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 1 | bound: 0 | nc: 1 | ncall: 973 | eff(%):  0.103 | loglstar:   -inf < -353762.893 <    inf | logz: -353770.466 +/-  0.125 | dlogz:    inf >  0.010                                            
iter: 2 | bound: 0 | nc: 1 | ncall: 974 | eff(%):  0.205 | loglstar:   -inf < -34005.497 <    inf | logz: -34013.071 +/-  0.125 | dlogz: 353769.868 >  0.010                                          
iter: 3 | bound: 0 | nc: 1 | ncall: 975 | eff(%):  0.308 | loglstar:   -inf < -24578.996 <    inf | logz: -24586.572 +/-  0.125 | dlogz: 34012.472 >  0.010                                           
iter: 4 | bound: 0 | nc: 1 | ncall: 976 | eff(%):  0.410 | loglstar:   -inf < -21052.973 <    inf | logz: -21060.550 +/-  0.125 | dlogz: 24585.971 >  0.010                                           
iter: 5 | bound: 0 | nc: 1 | ncall: 977 | eff(%):  0.512 | loglstar:   -inf < -15216.963 <    inf | logz: -15224.541 +/-  0.125 | dlogz: 21059.948 >  0.010                                           
iter: 6 | bound: 0 | nc: 1 | ncall: 978 | eff(%):  0.613 | loglstar:   -inf < -11156.994 <    inf | logz: -11164.572 +/-  0.125 | dlogz: 15223.938 >  0.010                                           
iter: 7 | bound: 0 | nc: 1 | ncall: 979 | eff(%):  0.715 | loglstar:   -inf < -9791.095 <    inf | logz: -9798.674 +/-  0.125 | dlogz: 11163.969 >  0.010                                             
iter: 8 | bound: 0 | nc: 1 | ncall: 980 | eff(%):  0.816 | loglstar:   -inf < -7369.453 <    inf | logz: -7377.034 +/-  0.125 | dlogz: 9798.070 >  0.010                                              
iter: 9 | bound: 0 | nc: 1 | ncall: 981 | eff(%):  0.917 | loglstar:   -inf < -7022.212 <    inf | logz: -7029.794 +/-  0.125 | dlogz: 7376.428 >  0.010                                              
iter: 10 | bound: 0 | nc: 1 | ncall: 982 | eff(%):  1.018 | loglstar:   -inf < -6845.807 <    inf | logz: -6853.390 +/-  0.125 | dlogz: 7029.187 >  0.010                                             
iter: 11 | bound: 0 | nc: 1 | ncall: 983 | eff(%):  1.119 | loglstar:   -inf < -6516.707 <    inf | logz: -6524.291 +/-  0.125 | dlogz: 6852.782 >  0.010                                             
