starting
Job is running on node c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_mcf_uchuu_all_Msatmocks_covglam4.h5
Condition number: 923.7538480211496
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for mcf built with train_tag _George_log_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 652
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 1 | bound: 0 | nc: 1 | ncall: 973 | eff(%):  0.103 | loglstar:   -inf < -350.692 <    inf | logz: -358.266 +/-  0.125 | dlogz:    inf >  0.010                                                  
iter: 2 | bound: 0 | nc: 1 | ncall: 974 | eff(%):  0.205 | loglstar:   -inf < -263.060 <    inf | logz: -270.634 +/-  0.125 | dlogz: 356.966 >  0.010                                                 
iter: 3 | bound: 0 | nc: 1 | ncall: 975 | eff(%):  0.308 | loglstar:   -inf < -190.500 <    inf | logz: -198.076 +/-  0.125 | dlogz: 269.334 >  0.010                                                 
iter: 4 | bound: 0 | nc: 1 | ncall: 976 | eff(%):  0.410 | loglstar:   -inf < -180.288 <    inf | logz: -187.865 +/-  0.125 | dlogz: 196.774 >  0.010                                                 
iter: 5 | bound: 0 | nc: 1 | ncall: 977 | eff(%):  0.512 | loglstar:   -inf < -171.518 <    inf | logz: -179.095 +/-  0.125 | dlogz: 186.562 >  0.010                                                 
iter: 6 | bound: 0 | nc: 1 | ncall: 978 | eff(%):  0.613 | loglstar:   -inf < -151.970 <    inf | logz: -159.549 +/-  0.125 | dlogz: 177.792 >  0.010                                                 
iter: 7 | bound: 0 | nc: 1 | ncall: 979 | eff(%):  0.715 | loglstar:   -inf < -112.412 <    inf | logz: -119.992 +/-  0.125 | dlogz: 158.244 >  0.010                                                 
iter: 8 | bound: 0 | nc: 1 | ncall: 980 | eff(%):  0.816 | loglstar:   -inf < -93.074 <    inf | logz: -100.655 +/-  0.125 | dlogz: 118.686 >  0.010                                                  
iter: 9 | bound: 0 | nc: 1 | ncall: 981 | eff(%):  0.917 | loglstar:   -inf < -86.526 <    inf | logz: -94.104 +/-  0.125 | dlogz: 99.348 >  0.010                                                    
iter: 10 | bound: 0 | nc: 2 | ncall: 983 | eff(%):  1.017 | loglstar:   -inf < -86.442 <    inf | logz: -92.980 +/-  0.115 | dlogz: 92.797 >  0.010                                                   
iter: 11 | bound: 0 | nc: 1 | ncall: 984 | eff(%):  1.118 | loglstar:   -inf < -80.195 <    inf | logz: -87.772 +/-  0.124 | dlogz: 91.671 >  0.010                                                   
iter: 12 | bound: 0 | nc: 1 | ncall: 985 | eff(%):  1.218 | loglstar:   -inf < -79.233 <    inf | logz: -86.248 +/-  0.116 | dlogz: 86.462 >  0.010                                                   
iter: 13 | bound: 0 | nc: 2 | ncall: 987 | eff(%):  1.317 | loglstar:   -inf < -77.454 <    inf | logz: -84.657 +/-  0.116 | dlogz: 84.938 >  0.010                                                   
iter: 14 | bound: 0 | nc: 1 | ncall: 988 | eff(%):  1.417 | loglstar:   -inf < -75.889 <    inf | logz: -83.060 +/-  0.116 | dlogz: 83.345 >  0.010                                                   
iter: 15 | bound: 0 | nc: 1 | ncall: 989 | eff(%):  1.517 | loglstar:   -inf < -73.631 <    inf | logz: -80.985 +/-  0.118 | dlogz: 81.747 >  0.010                                                   
iter: 16 | bound: 0 | nc: 1 | ncall: 990 | eff(%):  1.616 | loglstar:   -inf < -72.963 <    inf | logz: -79.781 +/-  0.114 | dlogz: 79.672 >  0.010                                                   
iter: 17 | bound: 0 | nc: 1 | ncall: 991 | eff(%):  1.715 | loglstar:   -inf < -72.002 <    inf | logz: -78.799 +/-  0.112 | dlogz: 78.467 >  0.010                                                   
iter: 18 | bound: 0 | nc: 1 | ncall: 992 | eff(%):  1.815 | loglstar:   -inf < -71.592 <    inf | logz: -78.041 +/-  0.110 | dlogz: 77.483 >  0.010                                                   
iter: 19 | bound: 0 | nc: 1 | ncall: 993 | eff(%):  1.913 | loglstar:   -inf < -71.451 <    inf | logz: -77.519 +/-  0.107 | dlogz: 76.725 >  0.010                                                   
iter: 20 | bound: 0 | nc: 1 | ncall: 994 | eff(%):  2.012 | loglstar:   -inf < -70.492 <    inf | logz: -76.939 +/-  0.107 | dlogz: 76.201 >  0.010                                                   
iter: 21 | bound: 0 | nc: 1 | ncall: 995 | eff(%):  2.111 | loglstar:   -inf < -68.232 <    inf | logz: -75.466 +/-  0.114 | dlogz: 75.620 >  0.010                                                   
iter: 22 | bound: 0 | nc: 1 | ncall: 996 | eff(%):  2.209 | loglstar:   -inf < -64.112 <    inf | logz: -71.668 +/-  0.123 | dlogz: 74.147 >  0.010                                                   
iter: 23 | bound: 0 | nc: 1 | ncall: 997 | eff(%):  2.307 | loglstar:   -inf < -63.810 <    inf | logz: -70.486 +/-  0.115 | dlogz: 70.348 >  0.010                                                   
